circuitId,circuitRef,name,location,country,lat,lng,alt,url
1,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,alt,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
2,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,alt,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
3,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,alt,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,alt,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
5,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,alt,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
6,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,alt,http://en.wikipedia.org/wiki/Scandinavian_Raceway
7,avus,AVUS,Berlin,Germany,52.4806,13.2514,alt,http://en.wikipedia.org/wiki/AVUS
8,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,alt,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
9,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,alt,http://en.wikipedia.org/wiki/Baku_City_Circuit
10,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,alt,http://en.wikipedia.org/wiki/Circuito_da_Boavista
11,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,alt,http://en.wikipedia.org/wiki/Brands_Hatch
12,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,alt,http://en.wikipedia.org/wiki/Circuit_Bremgarten
13,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,alt,http://en.wikipedia.org/wiki/Buddh_International_Circuit
14,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,alt,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
15,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,alt,http://en.wikipedia.org/wiki/Charade_Circuit
16,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,alt,http://en.wikipedia.org/wiki/Fair_Park
17,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,alt,http://en.wikipedia.org/wiki/Detroit_street_circuit
18,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,alt,http://en.wikipedia.org/wiki/Dijon-Prenois
