raceId,year,round,circuitId,name,date,time,url
1001,2019,4,Baku City Circuit,Azerbaijan Grand Prix,2019-04-28,06:00:00,http://en.wikipedia.org/wiki/2019_Azerbaijan_Grand_Prix
1002,2019,5,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2019-05-12,06:00:00,http://en.wikipedia.org/wiki/2019_Spanish_Grand_Prix
1003,2019,6,Circuit de Monaco,Monaco Grand Prix,2019-05-26,06:00:00,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix
1004,2019,7,Circuit Gilles Villeneuve,Canadian Grand Prix,2019-06-09,06:00:00,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix
1005,2019,8,Circuit Paul Ricard,French Grand Prix,2019-06-23,06:00:00,http://en.wikipedia.org/wiki/2019_French_Grand_Prix
1006,2019,9,Red Bull Ring,Austrian Grand Prix,2019-06-30,06:00:00,http://en.wikipedia.org/wiki/2019_Austrian_Grand_Prix
1007,2019,10,Silverstone Circuit,British Grand Prix,2019-07-14,06:00:00,http://en.wikipedia.org/wiki/2019_British_Grand_Prix
1008,2019,11,Hockenheimring,German Grand Prix,2019-07-28,06:00:00,http://en.wikipedia.org/wiki/2019_German_Grand_Prix
1009,2019,12,Hungaroring,Hungarian Grand Prix,2019-08-04,06:00:00,http://en.wikipedia.org/wiki/2019_Hungarian_Grand_Prix
1010,2019,13,Circuit de Spa-Francorchamps,Belgian Grand Prix,2019-09-01,06:00:00,http://en.wikipedia.org/wiki/2019_Belgian_Grand_Prix
1011,2019,14,Autodromo Nazionale di Monza,Italian Grand Prix,2019-09-08,06:00:00,http://en.wikipedia.org/wiki/2019_Italian_Grand_Prix
1012,2019,15,Marina Bay Street Circuit,Singapore Grand Prix,2019-09-22,06:00:00,http://en.wikipedia.org/wiki/2019_Singapore_Grand_Prix
1013,2019,16,Sochi Autodrom,Russian Grand Prix,2019-09-29,06:00:00,http://en.wikipedia.org/wiki/2019_Russian_Grand_Prix
1014,2019,17,Suzuka Circuit,Japanese Grand Prix,2019-10-13,06:00:00,http://en.wikipedia.org/wiki/2019_Japanese_Grand_Prix
1015,2019,18,Autódromo Hermanos Rodríguez,Mexican Grand Prix,2019-10-27,06:00:00,http://en.wikipedia.org/wiki/2019_Mexican_Grand_Prix
1016,2019,19,Circuit of the Americas,United States Grand Prix,2019-11-03,06:00:00,http://en.wikipedia.org/wiki/2019_United_States_Grand_Prix
1017,2019,20,Autódromo José Carlos Pace,Brazilian Grand Prix,2019-11-17,06:00:00,http://en.wikipedia.org/wiki/2019_Brazilian_Grand_Prix
1018,2019,21,Yas Marina Circuit,Abu Dhabi Grand Prix,2019-12-01,06:00:00,http://en.wikipedia.org/wiki/2019_Abu_Dhabi_Grand_Prix
1019,2020,1,Red Bull Ring,Austrian Grand Prix,2020-07-05,06:00:00,http://en.wikipedia.org/wiki/2020_Austrian_Grand_Prix
1020,2020,2,Red Bull Ring,Styrian Grand Prix,2020-07-12,06:00:00,http://en.wikipedia.org/wiki/2020_Styrian_Grand_Prix
1021,2020,3,Hungaroring,Hungarian Grand Prix,2020-07-19,06:00:00,http://en.wikipedia.org/wiki/2020_Hungarian_Grand_Prix
1022,2020,4,Silverstone Circuit,British Grand Prix,2020-08-02,06:00:00,http://en.wikipedia.org/wiki/2020_British_Grand_Prix
1023,2020,5,Silverstone Circuit,70th Anniversary Grand Prix,2020-08-09,06:00:00,http://en.wikipedia.org/wiki/70th_Anniversary_Grand_Prix
1024,2020,6,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2020-08-16,06:00:00,http://en.wikipedia.org/wiki/2020_Spanish_Grand_Prix
1025,2020,7,Circuit de Spa-Francorchamps,Belgian Grand Prix,2020-08-30,06:00:00,http://en.wikipedia.org/wiki/2020_Belgian_Grand_Prix
1026,2020,8,Autodromo Nazionale di Monza,Italian Grand Prix,2020-09-06,06:00:00,http://en.wikipedia.org/wiki/2020_Italian_Grand_Prix
1027,2020,9,Autodromo Internazionale del Mugello,Tuscan Grand Prix,2020-09-13,06:00:00,http://en.wikipedia.org/wiki/2020_Tuscan_Grand_Prix
1028,2020,10,Sochi Autodrom,Russian Grand Prix,2020-09-27,06:00:00,http://en.wikipedia.org/wiki/2020_Russian_Grand_Prix
1029,2020,11,Nürburgring,Eifel Grand Prix,2020-10-11,06:00:00,http://en.wikipedia.org/wiki/2020_Eifel_Grand_Prix
1030,2020,12,Autódromo Internacional do Algarve,Portuguese Grand Prix,2020-10-25,06:00:00,http://en.wikipedia.org/wiki/2020_Portuguese_Grand_Prix
1031,2020,13,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,2020-11-01,06:00:00,http://en.wikipedia.org/wiki/2020_Emilia_Romagna_Grand_Prix
1032,2020,14,Istanbul Park,Turkish Grand Prix,2020-11-15,06:00:00,http://en.wikipedia.org/wiki/2020_Turkish_Grand_Prix
1033,2020,15,Bahrain International Circuit,Bahrain Grand Prix,2020-11-29,06:00:00,http://en.wikipedia.org/wiki/2020_Bahrain_Grand_Prix
1034,2020,16,Bahrain International Circuit,Sakhir Grand Prix,2020-12-06,06:00:00,http://en.wikipedia.org/wiki/2020_Sakhir_Grand_Prix
1035,2020,17,Yas Marina Circuit,Abu Dhabi Grand Prix,2020-12-13,06:00:00,http://en.wikipedia.org/wiki/2020_Abu_Dhabi_Grand_Prix
1036,2021,1,Bahrain International Circuit,Bahrain Grand Prix,2021-03-28,06:00:00,http://en.wikipedia.org/wiki/2021_Bahrain_Grand_Prix
1037,2021,2,Autodromo Enzo e Dino Ferrari,Emilia Romagna Grand Prix,2021-04-18,06:00:00,http://en.wikipedia.org/wiki/2021_Emilia_Romagna_Grand_Prix
1038,2021,3,Autódromo Internacional do Algarve,Portuguese Grand Prix,2021-05-02,06:00:00,http://en.wikipedia.org/wiki/2021_Portuguese_Grand_Prix
1039,2021,4,Circuit de Barcelona-Catalunya,Spanish Grand Prix,2021-05-09,06:00:00,http://en.wikipedia.org/wiki/2021_Spanish_Grand_Prix
1040,2021,5,Circuit de Monaco,Monaco Grand Prix,2021-05-23,06:00:00,http://en.wikipedia.org/wiki/2021_Monaco_Grand_Prix
1041,2021,6,Baku City Circuit,Azerbaijan Grand Prix,2021-06-06,06:00:00,http://en.wikipedia.org/wiki/2021_Azerbaijan_Grand_Prix
1042,2021,7,Circuit Paul Ricard,French Grand Prix,2021-06-20,06:00:00,http://en.wikipedia.org/wiki/2021_French_Grand_Prix
