circuit_id,circuit_ref,circuit_name,location,country,latitude,longitude,altitude,data_source,ingestion_date
1,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617,alt,dev,2024-06-11
2,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,alt,dev,2024-06-11
3,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,alt,dev,2024-06-11
4,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,alt,dev,2024-06-11
5,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,alt,dev,2024-06-11
6,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,alt,dev,2024-06-11
7,avus,AVUS,Berlin,Germany,52.4806,13.2514,alt,dev,2024-06-11
8,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,alt,dev,2024-06-11
9,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,alt,dev,2024-06-11
10,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,alt,dev,2024-06-11
11,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,alt,dev,2024-06-11
12,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,alt,dev,2024-06-11
13,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,alt,dev,2024-06-11
14,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,alt,dev,2024-06-11
15,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,alt,dev,2024-06-11
16,dallas,Fair Park,Dallas,USA,32.7774,-96.7587,alt,dev,2024-06-11
17,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,alt,dev,2024-06-11
18,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913,alt,dev,2024-06-11
19,donington,Donington Park,Castle Donington,UK,52.8306,-1.37528,alt,dev,2024-06-11
20,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,alt,dev,2024-06-11
21,estoril,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,alt,dev,2024-06-11
22,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.927,alt,dev,2024-06-11
23,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,alt,dev,2024-06-11
24,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,alt,dev,2024-06-11
25,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,alt,dev,2024-06-11
26,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,alt,dev,2024-06-11
27,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,alt,dev,2024-06-11
28,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,alt,dev,2024-06-11
29,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,alt,dev,2024-06-11
30,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,alt,dev,2024-06-11
31,jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395,alt,dev,2024-06-11
32,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,alt,dev,2024-06-11
33,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,alt,dev,2024-06-11
34,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,alt,dev,2024-06-11
35,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767,alt,dev,2024-06-11
36,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.174,alt,dev,2024-06-11
37,lemans,Le Mans,Le Mans,France,47.95,0.224231,alt,dev,2024-06-11
38,long_beach,Long Beach,California,USA,33.7651,-118.189,alt,dev,2024-06-11
