constructor_id,constructor_ref,constructor_name,constructor_nationality,data_source,ingestion_date
1,adams,Adams,American,api,2024-06-14
2,afm,AFM,German,api,2024-06-14
3,ags,AGS,French,api,2024-06-14
4,alfa,Alfa Romeo,Swiss,api,2024-06-14
5,alphatauri,AlphaTauri,Italian,api,2024-06-14
6,alpine,Alpine F1 Team,French,api,2024-06-14
7,alta,Alta,British,api,2024-06-14
8,amon,Amon,New Zealander,api,2024-06-14
9,moda,Andrea Moda,Italian,api,2024-06-14
10,apollon,Apollon,Swiss,api,2024-06-14
11,arrows,Arrows,British,api,2024-06-14
12,arzani-volpini,Arzani-Volpini,Italian,api,2024-06-14
13,butterworth,Aston Butterworth,British,api,2024-06-14
14,aston_martin,Aston Martin,British,api,2024-06-14
15,ats,ATS,Italian,api,2024-06-14
16,bar,BAR,British,api,2024-06-14
17,behra-porsche,Behra-Porsche,Italian,api,2024-06-14
18,bellasi,Bellasi,Swiss,api,2024-06-14
19,benetton,Benetton,Italian,api,2024-06-14
20,bmw,BMW,German,api,2024-06-14
21,bmw_sauber,BMW Sauber,German,api,2024-06-14
22,boro,Boro,Dutch,api,2024-06-14
23,brabham,Brabham,British,api,2024-06-14
24,brabham-alfa_romeo,Brabham-Alfa Romeo,British,api,2024-06-14
25,brabham-brm,Brabham-BRM,British,api,2024-06-14
26,brabham-climax,Brabham-Climax,British,api,2024-06-14
27,brabham-ford,Brabham-Ford,British,api,2024-06-14
28,brabham-repco,Brabham-Repco,British,api,2024-06-14
29,brawn,Brawn,British,api,2024-06-14
30,brm,BRM,British,api,2024-06-14
31,brm-ford,BRM-Ford,British,api,2024-06-14
32,bromme,Bromme,American,api,2024-06-14
33,brp,BRP,British,api,2024-06-14
34,bugatti,Bugatti,French,api,2024-06-14
35,caterham,Caterham,Malaysian,api,2024-06-14
36,vhristensen,Christensen,American,api,2024-06-14
37,cisitalia,Cisitalia,Italian,api,2024-06-14
38,coloni,Coloni,Italian,api,2024-06-14
39,connaught,Connaught,British,api,2024-06-14
40,connew,Connew,British,api,2024-06-14
41,cooper,Cooper,British,api,2024-06-14
42,cooper-alfa_romeo,Cooper-Alfa Romeo,British,api,2024-06-14
43,cooper-ats,Cooper-ATS,British,api,2024-06-14
44,cooper-borgward,Cooper-Borgward,British,api,2024-06-14
45,cooper-brm,Cooper-BRM,British,api,2024-06-14
46,cooper-castellotti,Cooper-Castellotti,British,api,2024-06-14
