qualify_id,race_id,driver_id,constructor_id,number,position,q1,q2,q3,data_source,ingestion_date
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714,dev,2024-06-12
2,18,9,2,4,2,1:26.103,1:25.315,1:26.869,dev,2024-06-12
3,18,5,1,23,3,1:25.664,1:25.452,1:27.079,dev,2024-06-12
4,18,13,6,2,4,1:25.994,1:25.691,1:27.178,dev,2024-06-12
5,18,2,2,3,5,1:25.960,1:25.518,1:27.236,dev,2024-06-12
6,18,15,7,11,6,1:26.427,1:26.101,1:28.527,dev,2024-06-12
7,18,3,3,7,7,1:26.295,1:26.059,1:28.687,dev,2024-06-12
8,18,14,9,9,8,1:26.381,1:26.063,1:29.041,dev,2024-06-12
9,18,10,7,12,9,1:26.919,1:26.164,1:29.593,dev,2024-06-12
10,18,20,5,15,10,1:26.702,1:25.842,\N,dev,2024-06-12
11,18,22,11,17,11,1:26.369,1:26.173,\N,dev,2024-06-12
12,18,4,4,5,12,1:26.907,1:26.188,\N,dev,2024-06-12
13,18,18,11,16,13,1:26.712,1:26.259,\N,dev,2024-06-12
14,18,6,3,8,14,1:26.891,1:26.413,\N,dev,2024-06-12
15,18,17,9,10,15,1:26.914,\N,\N,dev,2024-06-12
16,18,8,6,1,16,1:26.140,\N,\N,dev,2024-06-12
17,18,21,10,21,17,1:27.207,\N,\N,dev,2024-06-12
18,18,7,5,14,18,1:27.446,\N,\N,dev,2024-06-12
19,18,16,10,20,19,1:27.859,\N,\N,dev,2024-06-12
20,18,11,8,18,20,1:28.208,\N,\N,dev,2024-06-12
21,18,12,4,6,21,1:28.330,\N,\N,dev,2024-06-12
22,18,19,8,19,22,1:29.059,\N,\N,dev,2024-06-12
23,19,13,6,2,1,1:35.347,1:34.412,1:35.748,dev,2024-06-12
24,19,8,6,1,2,1:35.645,1:34.188,1:36.230,dev,2024-06-12
25,19,5,1,23,3,1:35.227,1:34.759,1:36.613,dev,2024-06-12
26,19,1,1,22,4,1:35.392,1:34.627,1:36.709,dev,2024-06-12
27,19,15,7,11,5,1:35.205,1:34.960,1:36.711,dev,2024-06-12
28,19,9,2,4,6,1:35.794,1:34.811,1:36.727,dev,2024-06-12
29,19,2,2,3,7,1:35.729,1:34.648,1:36.753,dev,2024-06-12
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009,dev,2024-06-12
31,19,4,4,5,9,1:35.983,1:35.140,1:38.450,dev,2024-06-12
32,19,10,7,12,10,1:35.891,1:35.000,1:39.656,dev,2024-06-12
33,19,18,11,16,11,1:35.847,1:35.208,\N,dev,2024-06-12
34,19,14,9,9,12,1:36.058,1:35.408,\N,dev,2024-06-12
35,19,12,4,6,13,1:36.074,1:35.562,\N,dev,2024-06-12
36,19,22,11,17,14,1:36.198,1:35.622,\N,dev,2024-06-12
37,19,20,5,15,15,1:36.111,1:35.648,\N,dev,2024-06-12
38,19,3,3,7,16,1:35.843,1:35.670,\N,dev,2024-06-12
39,19,21,10,21,17,1:36.240,\N,\N,dev,2024-06-12
40,19,6,3,8,18,1:36.388,\N,\N,dev,2024-06-12
41,19,7,5,14,19,1:36.677,\N,\N,dev,2024-06-12
42,19,11,8,18,20,1:37.087,\N,\N,dev,2024-06-12
43,19,16,10,20,21,1:37.101,\N,\N,dev,2024-06-12
44,19,19,8,19,22,1:37.481,\N,\N,dev,2024-06-12
45,20,9,2,4,1,1:32.893,1:31.745,1:33.096,dev,2024-06-12
46,20,13,6,2,2,1:31.937,1:31.188,1:33.123,dev,2024-06-12
47,20,1,1,22,3,1:32.750,1:31.922,1:33.292,dev,2024-06-12
48,20,8,6,1,4,1:32.652,1:31.933,1:33.418,dev,2024-06-12
49,20,5,1,23,5,1:33.057,1:31.718,1:33.488,dev,2024-06-12
50,20,2,2,3,6,1:33.137,1:31.909,1:33.737,dev,2024-06-12
51,20,15,7,11,7,1:32.493,1:32.159,1:33.994,dev,2024-06-12
52,20,3,3,7,8,1:32.903,1:32.185,1:34.015,dev,2024-06-12
53,20,18,11,16,9,1:32.793,1:32.362,1:35.057,dev,2024-06-12
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115,dev,2024-06-12
55,20,17,9,10,11,1:33.194,1:32.371,\N,dev,2024-06-12
56,20,22,11,17,12,1:32.944,1:32.508,\N,dev,2024-06-12
57,20,10,7,12,13,1:32.800,1:32.528,\N,dev,2024-06-12
58,20,12,4,6,14,1:32.975,1:32.790,\N,dev,2024-06-12
59,20,7,5,14,15,1:33.415,1:32.915,\N,dev,2024-06-12
60,20,6,3,8,16,1:33.386,1:32.943,\N,dev,2024-06-12
61,20,14,9,9,17,1:33.433,\N,\N,dev,2024-06-12
62,20,21,10,21,18,1:33.501,\N,\N,dev,2024-06-12
63,20,20,5,15,19,1:33.562,\N,\N,dev,2024-06-12
64,20,16,10,20,20,1:33.845,\N,\N,dev,2024-06-12
65,20,19,8,19,21,1:34.140,\N,\N,dev,2024-06-12
66,20,11,8,18,22,1:35.725,\N,\N,dev,2024-06-12
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,dev,2024-06-12
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,dev,2024-06-12
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,dev,2024-06-12
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,dev,2024-06-12
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,dev,2024-06-12
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,dev,2024-06-12
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,dev,2024-06-12
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,dev,2024-06-12
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,dev,2024-06-12
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,dev,2024-06-12
77,21,22,11,17,11,1:21.548,1:21.049,\N,dev,2024-06-12
78,21,6,3,8,12,1:21.690,1:21.117,\N,dev,2024-06-12
79,21,18,11,16,13,1:21.757,1:21.211,\N,dev,2024-06-12
80,21,10,7,12,14,1:21.427,1:21.230,\N,dev,2024-06-12
81,21,3,3,7,15,1:21.472,1:21.349,\N,dev,2024-06-12
82,21,7,5,14,16,1:21.540,1:21.724,\N,dev,2024-06-12
83,21,14,9,9,17,1:21.810,\N,\N,dev,2024-06-12
84,21,20,5,15,18,1:22.108,\N,\N,dev,2024-06-12
85,21,21,10,21,19,1:22.516,\N,\N,dev,2024-06-12
86,21,16,10,20,20,1:23.224,\N,\N,dev,2024-06-12
87,21,19,8,19,21,1:23.318,\N,\N,dev,2024-06-12
88,21,11,8,18,22,1:23.496,\N,\N,dev,2024-06-12
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,dev,2024-06-12
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,dev,2024-06-12
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,dev,2024-06-12
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,dev,2024-06-12
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,dev,2024-06-12
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,dev,2024-06-12
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,dev,2024-06-12
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,dev,2024-06-12
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,dev,2024-06-12
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,dev,2024-06-12
99,22,3,3,7,11,1:27.367,1:27.012,\N,dev,2024-06-12
100,22,22,11,17,12,1:27.355,1:27.219,\N,dev,2024-06-12
101,22,18,11,16,13,1:27.428,1:27.298,\N,dev,2024-06-12
102,22,20,5,15,14,1:27.442,1:27.412,\N,dev,2024-06-12
103,22,10,7,12,15,1:26.614,1:27.806,\N,dev,2024-06-12
104,22,6,3,8,16,1:27.547,\N,\N,dev,2024-06-12
105,22,12,4,6,17,1:27.568,\N,\N,dev,2024-06-12
106,22,7,5,14,18,1:27.621,\N,\N,dev,2024-06-12
107,22,21,10,21,19,1:27.807,\N,\N,dev,2024-06-12
108,22,16,10,20,20,1:28.325,\N,\N,dev,2024-06-12
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,dev,2024-06-12
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815,dev,2024-06-12
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839,dev,2024-06-12
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165,dev,2024-06-12
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171,dev,2024-06-12
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548,dev,2024-06-12
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852,dev,2024-06-12
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203,dev,2024-06-12
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343,dev,2024-06-12
118,23,14,9,9,10,1:16.086,1:15.839,\N,dev,2024-06-12
119,23,10,7,12,11,1:16.285,1:15.907,\N,dev,2024-06-12
120,23,18,11,16,12,1:16.259,1:16.101,\N,dev,2024-06-12
121,23,2,2,3,13,1:16.650,1:16.455,\N,dev,2024-06-12
122,23,6,3,8,14,1:16.756,1:16.479,\N,dev,2024-06-12
123,23,22,11,17,15,1:16.208,1:16.537,\N,dev,2024-06-12
124,23,7,5,14,16,1:16.806,\N,\N,dev,2024-06-12
125,23,12,4,6,17,1:16.933,\N,\N,dev,2024-06-12
126,23,20,5,15,18,1:16.955,\N,\N,dev,2024-06-12
127,23,16,10,20,19,1:17.225,\N,\N,dev,2024-06-12
128,23,21,10,21,20,1:17.823,\N,\N,dev,2024-06-12
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886,dev,2024-06-12
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498,dev,2024-06-12
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735,dev,2024-06-12
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746,dev,2024-06-12
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844,dev,2024-06-12
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048,dev,2024-06-12
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089,dev,2024-06-12
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633,dev,2024-06-12
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848,dev,2024-06-12
138,24,17,9,10,10,1:17.582,1:17.523,\N,dev,2024-06-12
139,24,10,7,12,11,1:18.321,1:18.031,\N,dev,2024-06-12
140,24,6,3,8,12,1:17.638,1:18.062,\N,dev,2024-06-12
141,24,14,9,9,13,1:18.168,1:18.238,\N,dev,2024-06-12
142,24,15,7,11,14,1:18.039,1:18.327,\N,dev,2024-06-12
143,24,12,4,6,15,1:18.505,1:18.393,\N,dev,2024-06-12
144,24,7,5,14,16,1:18.916,\N,\N,dev,2024-06-12
145,24,16,10,20,17,1:19.108,\N,\N,dev,2024-06-12
146,24,21,10,21,18,1:19.165,\N,\N,dev,2024-06-12
147,24,18,11,16,19,1:23.565,\N,\N,dev,2024-06-12
148,24,20,5,15,20,\N,\N,\N,dev,2024-06-12
149,25,8,6,1,1,1:15.133,1:15.161,1:16.449,dev,2024-06-12
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490,dev,2024-06-12
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693,dev,2024-06-12
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840,dev,2024-06-12
153,25,15,7,11,5,1:15.521,1:15.362,1:16.920,dev,2024-06-12
154,25,5,1,23,6,1:15.965,1:15.639,1:16.944,dev,2024-06-12
155,25,9,2,4,7,1:15.687,1:15.723,1:17.037,dev,2024-06-12
156,25,17,9,10,8,1:16.020,1:15.488,1:17.233,dev,2024-06-12
157,25,14,9,9,9,1:15.802,1:15.654,1:17.426,dev,2024-06-12
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596,dev,2024-06-12
159,25,12,4,6,11,1:15.848,1:15.770,\N,dev,2024-06-12
160,25,2,2,3,12,1:16.006,1:15.786,\N,dev,2024-06-12
161,25,20,5,15,13,1:15.918,1:15.816,\N,dev,2024-06-12
162,25,7,5,14,14,1:16.072,1:16.045,\N,dev,2024-06-12
163,25,3,3,7,15,1:16.085,1:16.235,\N,dev,2024-06-12
164,25,6,3,8,16,1:16.243,\N,\N,dev,2024-06-12
165,25,18,11,16,17,1:16.306,\N,\N,dev,2024-06-12
166,25,22,11,17,18,1:16.330,\N,\N,dev,2024-06-12
167,25,21,10,21,19,1:16.971,\N,\N,dev,2024-06-12
168,25,16,10,20,20,1:17.053,\N,\N,dev,2024-06-12
169,26,5,1,23,1,1:19.957,1:19.597,1:21.049,dev,2024-06-12
170,26,17,9,10,2,1:20.982,1:19.710,1:21.554,dev,2024-06-12
171,26,8,6,1,3,1:20.370,1:19.971,1:21.706,dev,2024-06-12
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835,dev,2024-06-12
173,26,2,2,3,5,1:21.022,1:19.802,1:21.873,dev,2024-06-12
174,26,4,4,5,6,1:20.998,1:19.992,1:22.029,dev,2024-06-12
175,26,12,4,6,7,1:20.818,1:20.115,1:22.491,dev,2024-06-12
176,26,20,5,15,8,1:20.318,1:20.109,1:23.251,dev,2024-06-12
177,26,13,6,2,9,1:20.676,1:20.086,1:23.305,dev,2024-06-12
