race_id,year,round,circuit_id,race_name,date,time,race_id_join,race_timestamp,data_source,ingestion_date
1,1950,1,Silverstone Circuit,British Grand Prix,1950-05-13,06:00:00,British Grand Prix1950,1950-05-13 06:00:00,api,2024-06-12
2,1950,2,Circuit de Monaco,Monaco Grand Prix,1950-05-21,06:00:00,Monaco Grand Prix1950,1950-05-21 06:00:00,api,2024-06-12
3,1950,3,Indianapolis Motor Speedway,Indianapolis 500,1950-05-30,06:00:00,Indianapolis 5001950,1950-05-30 06:00:00,api,2024-06-12
4,1950,4,Circuit Bremgarten,Swiss Grand Prix,1950-06-04,06:00:00,Swiss Grand Prix1950,1950-06-04 06:00:00,api,2024-06-12
5,1950,5,Circuit de Spa-Francorchamps,Belgian Grand Prix,1950-06-18,06:00:00,Belgian Grand Prix1950,1950-06-18 06:00:00,api,2024-06-12
6,1950,6,Reims-Gueux,French Grand Prix,1950-07-02,06:00:00,French Grand Prix1950,1950-07-02 06:00:00,api,2024-06-12
7,1950,7,Autodromo Nazionale di Monza,Italian Grand Prix,1950-09-03,06:00:00,Italian Grand Prix1950,1950-09-03 06:00:00,api,2024-06-12
8,1951,1,Circuit Bremgarten,Swiss Grand Prix,1951-05-27,06:00:00,Swiss Grand Prix1951,1951-05-27 06:00:00,api,2024-06-12
9,1951,2,Indianapolis Motor Speedway,Indianapolis 500,1951-05-30,06:00:00,Indianapolis 5001951,1951-05-30 06:00:00,api,2024-06-12
10,1951,3,Circuit de Spa-Francorchamps,Belgian Grand Prix,1951-06-17,06:00:00,Belgian Grand Prix1951,1951-06-17 06:00:00,api,2024-06-12
11,1951,4,Reims-Gueux,French Grand Prix,1951-07-01,06:00:00,French Grand Prix1951,1951-07-01 06:00:00,api,2024-06-12
12,1951,5,Silverstone Circuit,British Grand Prix,1951-07-14,06:00:00,British Grand Prix1951,1951-07-14 06:00:00,api,2024-06-12
13,1951,6,Nürburgring,German Grand Prix,1951-07-29,06:00:00,German Grand Prix1951,1951-07-29 06:00:00,api,2024-06-12
14,1951,7,Autodromo Nazionale di Monza,Italian Grand Prix,1951-09-16,06:00:00,Italian Grand Prix1951,1951-09-16 06:00:00,api,2024-06-12
15,1951,8,Circuit de Pedralbes,Spanish Grand Prix,1951-10-28,06:00:00,Spanish Grand Prix1951,1951-10-28 06:00:00,api,2024-06-12
16,1952,1,Circuit Bremgarten,Swiss Grand Prix,1952-05-18,06:00:00,Swiss Grand Prix1952,1952-05-18 06:00:00,api,2024-06-12
17,1952,2,Indianapolis Motor Speedway,Indianapolis 500,1952-05-30,06:00:00,Indianapolis 5001952,1952-05-30 06:00:00,api,2024-06-12
18,1952,3,Circuit de Spa-Francorchamps,Belgian Grand Prix,1952-06-22,06:00:00,Belgian Grand Prix1952,1952-06-22 06:00:00,api,2024-06-12
19,1952,4,Rouen-Les-Essarts,French Grand Prix,1952-07-06,06:00:00,French Grand Prix1952,1952-07-06 06:00:00,api,2024-06-12
20,1952,5,Silverstone Circuit,British Grand Prix,1952-07-19,06:00:00,British Grand Prix1952,1952-07-19 06:00:00,api,2024-06-12
21,1952,6,Nürburgring,German Grand Prix,1952-08-03,06:00:00,German Grand Prix1952,1952-08-03 06:00:00,api,2024-06-12
22,1952,7,Circuit Park Zandvoort,Dutch Grand Prix,1952-08-17,06:00:00,Dutch Grand Prix1952,1952-08-17 06:00:00,api,2024-06-12
23,1952,8,Autodromo Nazionale di Monza,Italian Grand Prix,1952-09-07,06:00:00,Italian Grand Prix1952,1952-09-07 06:00:00,api,2024-06-12
24,1953,1,Autódromo Juan y Oscar Gálvez,Argentine Grand Prix,1953-01-18,06:00:00,Argentine Grand Prix1953,1953-01-18 06:00:00,api,2024-06-12
25,1953,2,Indianapolis Motor Speedway,Indianapolis 500,1953-05-30,06:00:00,Indianapolis 5001953,1953-05-30 06:00:00,api,2024-06-12
26,1953,3,Circuit Park Zandvoort,Dutch Grand Prix,1953-06-07,06:00:00,Dutch Grand Prix1953,1953-06-07 06:00:00,api,2024-06-12
27,1953,4,Circuit de Spa-Francorchamps,Belgian Grand Prix,1953-06-21,06:00:00,Belgian Grand Prix1953,1953-06-21 06:00:00,api,2024-06-12
28,1953,5,Reims-Gueux,French Grand Prix,1953-07-05,06:00:00,French Grand Prix1953,1953-07-05 06:00:00,api,2024-06-12
29,1953,6,Silverstone Circuit,British Grand Prix,1953-07-18,06:00:00,British Grand Prix1953,1953-07-18 06:00:00,api,2024-06-12
30,1953,7,Nürburgring,German Grand Prix,1953-08-02,06:00:00,German Grand Prix1953,1953-08-02 06:00:00,api,2024-06-12
31,1953,8,Circuit Bremgarten,Swiss Grand Prix,1953-08-23,06:00:00,Swiss Grand Prix1953,1953-08-23 06:00:00,api,2024-06-12
32,1953,9,Autodromo Nazionale di Monza,Italian Grand Prix,1953-09-13,06:00:00,Italian Grand Prix1953,1953-09-13 06:00:00,api,2024-06-12
33,1954,1,Autódromo Juan y Oscar Gálvez,Argentine Grand Prix,1954-01-17,06:00:00,Argentine Grand Prix1954,1954-01-17 06:00:00,api,2024-06-12
34,1954,2,Indianapolis Motor Speedway,Indianapolis 500,1954-05-31,06:00:00,Indianapolis 5001954,1954-05-31 06:00:00,api,2024-06-12
35,1954,3,Circuit de Spa-Francorchamps,Belgian Grand Prix,1954-06-20,06:00:00,Belgian Grand Prix1954,1954-06-20 06:00:00,api,2024-06-12
36,1954,4,Reims-Gueux,French Grand Prix,1954-07-04,06:00:00,French Grand Prix1954,1954-07-04 06:00:00,api,2024-06-12
37,1954,5,Silverstone Circuit,British Grand Prix,1954-07-17,06:00:00,British Grand Prix1954,1954-07-17 06:00:00,api,2024-06-12
38,1954,6,Nürburgring,German Grand Prix,1954-08-01,06:00:00,German Grand Prix1954,1954-08-01 06:00:00,api,2024-06-12
39,1954,7,Circuit Bremgarten,Swiss Grand Prix,1954-08-22,06:00:00,Swiss Grand Prix1954,1954-08-22 06:00:00,api,2024-06-12
40,1954,8,Autodromo Nazionale di Monza,Italian Grand Prix,1954-09-05,06:00:00,Italian Grand Prix1954,1954-09-05 06:00:00,api,2024-06-12
41,1954,9,Circuit de Pedralbes,Spanish Grand Prix,1954-10-24,06:00:00,Spanish Grand Prix1954,1954-10-24 06:00:00,api,2024-06-12
42,1955,1,Autódromo Juan y Oscar Gálvez,Argentine Grand Prix,1955-01-16,06:00:00,Argentine Grand Prix1955,1955-01-16 06:00:00,api,2024-06-12
43,1955,2,Circuit de Monaco,Monaco Grand Prix,1955-05-22,06:00:00,Monaco Grand Prix1955,1955-05-22 06:00:00,api,2024-06-12
44,1955,3,Indianapolis Motor Speedway,Indianapolis 500,1955-05-30,06:00:00,Indianapolis 5001955,1955-05-30 06:00:00,api,2024-06-12
45,1955,4,Circuit de Spa-Francorchamps,Belgian Grand Prix,1955-06-05,06:00:00,Belgian Grand Prix1955,1955-06-05 06:00:00,api,2024-06-12
46,1955,5,Circuit Park Zandvoort,Dutch Grand Prix,1955-06-19,06:00:00,Dutch Grand Prix1955,1955-06-19 06:00:00,api,2024-06-12
47,1955,6,Aintree,British Grand Prix,1955-07-16,06:00:00,British Grand Prix1955,1955-07-16 06:00:00,api,2024-06-12
48,1955,7,Autodromo Nazionale di Monza,Italian Grand Prix,1955-09-11,06:00:00,Italian Grand Prix1955,1955-09-11 06:00:00,api,2024-06-12
49,1956,1,Autódromo Juan y Oscar Gálvez,Argentine Grand Prix,1956-01-22,06:00:00,Argentine Grand Prix1956,1956-01-22 06:00:00,api,2024-06-12
50,1956,2,Circuit de Monaco,Monaco Grand Prix,1956-05-13,06:00:00,Monaco Grand Prix1956,1956-05-13 06:00:00,api,2024-06-12
51,1956,3,Indianapolis Motor Speedway,Indianapolis 500,1956-05-30,06:00:00,Indianapolis 5001956,1956-05-30 06:00:00,api,2024-06-12
52,1956,4,Circuit de Spa-Francorchamps,Belgian Grand Prix,1956-06-03,06:00:00,Belgian Grand Prix1956,1956-06-03 06:00:00,api,2024-06-12
53,1956,5,Reims-Gueux,French Grand Prix,1956-07-01,06:00:00,French Grand Prix1956,1956-07-01 06:00:00,api,2024-06-12
54,1956,6,Silverstone Circuit,British Grand Prix,1956-07-14,06:00:00,British Grand Prix1956,1956-07-14 06:00:00,api,2024-06-12
55,1956,7,Nürburgring,German Grand Prix,1956-08-05,06:00:00,German Grand Prix1956,1956-08-05 06:00:00,api,2024-06-12
56,1956,8,Autodromo Nazionale di Monza,Italian Grand Prix,1956-09-02,06:00:00,Italian Grand Prix1956,1956-09-02 06:00:00,api,2024-06-12
57,1957,1,Autódromo Juan y Oscar Gálvez,Argentine Grand Prix,1957-01-13,06:00:00,Argentine Grand Prix1957,1957-01-13 06:00:00,api,2024-06-12
58,1957,2,Circuit de Monaco,Monaco Grand Prix,1957-05-19,06:00:00,Monaco Grand Prix1957,1957-05-19 06:00:00,api,2024-06-12
59,1957,3,Indianapolis Motor Speedway,Indianapolis 500,1957-05-30,06:00:00,Indianapolis 5001957,1957-05-30 06:00:00,api,2024-06-12
60,1957,4,Rouen-Les-Essarts,French Grand Prix,1957-07-07,06:00:00,French Grand Prix1957,1957-07-07 06:00:00,api,2024-06-12
61,1957,5,Aintree,British Grand Prix,1957-07-20,06:00:00,British Grand Prix1957,1957-07-20 06:00:00,api,2024-06-12
62,1957,6,Nürburgring,German Grand Prix,1957-08-04,06:00:00,German Grand Prix1957,1957-08-04 06:00:00,api,2024-06-12
63,1957,7,Pescara Circuit,Pescara Grand Prix,1957-08-18,06:00:00,Pescara Grand Prix1957,1957-08-18 06:00:00,api,2024-06-12
