result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,status,data_source,ingestion_date
24717,1023,317,4,99,19,17,17,positionOrder,0.0,51,+1 Lap,dev,2024-06-06
24715,1023,634,4,7,20,15,15,positionOrder,0.0,51,+1 Lap,dev,2024-06-06
24711,1023,305,5,10,7,11,11,positionOrder,0.0,52,Finished,dev,2024-06-06
24710,1023,436,5,26,16,10,10,positionOrder,1.0,52,Finished,dev,2024-06-06
24704,1023,456,75,16,8,4,4,positionOrder,12.0,52,Finished,dev,2024-06-06
24712,1023,805,75,5,11,12,12,positionOrder,0.0,52,Finished,dev,2024-06-06
24716,1023,334,85,8,13,16,16,positionOrder,0.0,51,+1 Lap,dev,2024-06-06
24720,1023,491,85,20,17,20,R,positionOrder,0.0,43,Retired,dev,2024-06-06
24709,1023,569,135,4,10,9,9,positionOrder,2.0,52,Finished,dev,2024-06-06
24713,1023,679,135,55,12,13,13,positionOrder,0.0,52,Finished,dev,2024-06-06
24703,1023,98,140,77,1,3,3,positionOrder,15.0,52,Finished,dev,2024-06-06
24702,1023,349,140,44,2,2,2,positionOrder,19.0,52,Finished,dev,2024-06-06
24707,1023,385,162,27,3,7,7,positionOrder,6.0,52,Finished,dev,2024-06-06
24706,1023,745,162,18,6,6,6,positionOrder,8.0,52,Finished,dev,2024-06-06
24705,1023,11,168,23,9,5,5,positionOrder,10.0,52,Finished,dev,2024-06-06
24701,1023,803,168,33,4,1,1,positionOrder,25.0,52,Finished,dev,2024-06-06
24708,1023,573,169,31,14,8,8,positionOrder,4.0,52,Finished,dev,2024-06-06
24714,1023,650,169,3,5,14,14,positionOrder,0.0,51,+1 Lap,dev,2024-06-06
24719,1023,450,210,6,18,19,19,positionOrder,0.0,51,+1 Lap,dev,2024-06-06
24718,1023,671,210,63,15,18,18,positionOrder,0.0,51,+1 Lap,dev,2024-06-06
20308,820,364,21,6,8,5,5,positionOrder,4.0,55,Finished,dev,2024-06-06
20313,820,434,21,5,7,10,10,positionOrder,0.0,55,Finished,dev,2024-06-06
20307,820,51,29,23,4,4,4,positionOrder,5.0,55,Finished,dev,2024-06-06
20306,820,133,29,22,5,3,3,positionOrder,6.0,55,Finished,dev,2024-06-06
20319,820,265,75,3,20,16,16,positionOrder,0.0,54,+1 Lap,dev,2024-06-06
20315,820,634,75,4,11,12,12,positionOrder,0.0,55,Finished,dev,2024-06-06
20318,820,470,79,21,16,15,15,positionOrder,0.0,55,Finished,dev,2024-06-06
20320,820,752,79,20,17,17,17,positionOrder,0.0,54,+1 Lap,dev,2024-06-06
20322,820,349,135,1,1,19,R,positionOrder,0.0,20,Brakes,dev,2024-06-06
20314,820,431,135,2,18,11,11,positionOrder,0.0,55,Finished,dev,2024-06-06
20304,820,805,168,15,2,1,1,positionOrder,10.0,55,Finished,dev,2024-06-06
20305,820,825,168,14,3,2,2,positionOrder,8.0,55,Finished,dev,2024-06-06
20317,820,17,169,7,15,14,14,positionOrder,0.0,55,Finished,dev,2024-06-06
20321,820,334,169,8,19,18,18,positionOrder,0.0,54,+1 Lap,dev,2024-06-06
20323,820,14,199,11,14,20,R,positionOrder,0.0,18,Gearbox,dev,2024-06-06
20311,820,128,199,12,10,8,8,positionOrder,1.0,55,Finished,dev,2024-06-06
20309,820,429,200,10,12,6,6,positionOrder,3.0,55,Finished,dev,2024-06-06
20310,820,784,200,9,6,7,7,positionOrder,2.0,55,Finished,dev,2024-06-06
20316,820,550,210,17,13,13,13,positionOrder,0.0,55,Finished,dev,2024-06-06
20312,820,663,210,16,9,9,9,positionOrder,0.0,55,Finished,dev,2024-06-06
20762,839,17,75,8,3,7,7,positionOrder,6.0,55,Finished,dev,2024-06-06
20765,839,508,75,7,6,10,10,positionOrder,1.0,55,Finished,dev,2024-06-06
20779,839,470,79,15,16,24,R,positionOrder,0.0,0,Collision,dev,2024-06-06
20768,839,752,79,14,13,13,13,positionOrder,0.0,55,Finished,dev,2024-06-06
20774,839,712,89,21,23,19,19,positionOrder,0.0,53,+2 Laps,dev,2024-06-06
20775,839,426,89,20,24,20,20,positionOrder,0.0,53,+2 Laps,dev,2024-06-06
20772,839,431,113,19,20,17,17,positionOrder,0.0,54,+1 Lap,dev,2024-06-06
20776,839,784,113,18,19,21,21,positionOrder,0.0,51,Rear wing,dev,2024-06-06
20758,839,133,135,1,4,3,3,positionOrder,15.0,55,Finished,dev,2024-06-06
20757,839,349,135,2,2,2,2,positionOrder,18.0,55,Finished,dev,2024-06-06
20778,839,705,140,3,8,23,R,positionOrder,0.0,0,Collision,dev,2024-06-06
20759,839,663,140,4,9,4,4,positionOrder,12.0,55,Finished,dev,2024-06-06
20756,839,805,168,5,1,1,1,positionOrder,25.0,55,Finished,dev,2024-06-06
20763,839,825,168,6,5,8,8,positionOrder,4.0,55,Finished,dev,2024-06-06
20760,839,434,169,11,11,5,5,positionOrder,10.0,55,Finished,dev,2024-06-06
20761,839,602,169,12,10,6,6,positionOrder,8.0,55,Finished,dev,2024-06-06
20766,839,364,171,22,14,11,11,positionOrder,0.0,55,Finished,dev,2024-06-06
20769,839,429,171,23,12,14,14,positionOrder,0.0,55,Finished,dev,2024-06-06
20764,839,14,199,17,17,9,9,positionOrder,2.0,55,Finished,dev,2024-06-06
20770,839,128,199,16,18,15,15,positionOrder,0.0,55,Finished,dev,2024-06-06
20777,839,319,207,24,21,22,R,positionOrder,0.0,43,Gearbox,dev,2024-06-06
20773,839,222,207,25,22,18,18,positionOrder,0.0,53,+2 Laps,dev,2024-06-06
20767,839,51,210,9,7,12,12,positionOrder,0.0,55,Finished,dev,2024-06-06
20771,839,385,210,10,15,16,16,positionOrder,0.0,55,Finished,dev,2024-06-06
21189,857,17,75,5,5,2,2,positionOrder,18.0,55,Finished,dev,2024-06-06
21192,857,508,75,6,6,5,5,positionOrder,10.0,55,Finished,dev,2024-06-06
21196,857,223,79,15,10,9,9,positionOrder,2.0,55,Finished,dev,2024-06-06
21195,857,752,79,14,9,8,8,positionOrder,4.0,55,Finished,dev,2024-06-06
21207,857,470,89,23,22,20,20,positionOrder,0.0,53,+2 Laps,dev,2024-06-06
21208,857,650,89,22,20,21,R,positionOrder,0.0,48,Mechanical,dev,2024-06-06
21204,857,431,113,20,17,17,17,positionOrder,0.0,54,+1 Lap,dev,2024-06-06
21205,857,784,113,21,18,18,18,positionOrder,0.0,53,+2 Laps,dev,2024-06-06
21190,857,133,135,4,3,3,3,positionOrder,15.0,55,Finished,dev,2024-06-06
21188,857,349,135,3,2,1,1,positionOrder,25.0,55,Finished,dev,2024-06-06
