result_id,race_id,driver_id,constructor_id,number,grid,position,position_text,position_order,points,laps,status,data_source,ingestion_date
202403,1104,305,6,10,17,13,13,positionOrder,0,57,+1 Lap,api,2024-06-25
202403,1104,573,6,31,15,16,16,positionOrder,0,57,+1 Lap,api,2024-06-25
202403,1104,17,14,14,10,8,8,positionOrder,4,58,Finished,api,2024-06-25
202403,1104,745,14,18,9,6,6,positionOrder,8,58,Finished,api,2024-06-25
202403,1104,456,75,16,4,2,2,positionOrder,19,58,Finished,api,2024-06-25
202403,1104,679,75,55,2,1,1,positionOrder,25,58,Finished,api,2024-06-25
202403,1104,385,85,27,16,9,9,positionOrder,2,58,Finished,api,2024-06-25
202403,1104,491,85,20,14,10,10,positionOrder,1,57,+1 Lap,api,2024-06-25
202403,1104,569,135,4,3,3,3,positionOrder,15,58,Finished,api,2024-06-25
202403,1104,604,135,81,5,4,4,positionOrder,12,58,Finished,api,2024-06-25
202403,1104,349,140,44,11,18,R,positionOrder,0,15,Engine,api,2024-06-25
202403,1104,671,140,63,7,17,17,positionOrder,0,56,Accident,api,2024-06-25
202403,1104,650,165,3,18,12,12,positionOrder,0,57,+1 Lap,api,2024-06-25
202403,1104,785,165,22,8,7,7,positionOrder,6,58,Finished,api,2024-06-25
202403,1104,803,168,1,1,19,R,positionOrder,0,3,Brakes,api,2024-06-25
202403,1104,595,168,11,6,5,5,positionOrder,10,58,Finished,api,2024-06-25
202403,1104,98,171,77,13,14,14,positionOrder,0,57,+1 Lap,api,2024-06-25
202403,1104,856,171,24,19,15,15,positionOrder,0,57,+1 Lap,api,2024-06-25
202403,1104,11,210,23,12,11,11,positionOrder,0,57,+1 Lap,api,2024-06-25
202401,1102,305,6,10,20,18,18,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,573,6,31,19,17,17,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,17,14,14,6,9,9,positionOrder,2,57,Finished,api,2024-06-25
202401,1102,745,14,18,12,10,10,positionOrder,1,57,Finished,api,2024-06-25
202401,1102,456,75,16,2,4,4,positionOrder,12,57,Finished,api,2024-06-25
202401,1102,679,75,55,4,3,3,positionOrder,15,57,Finished,api,2024-06-25
202401,1102,385,85,27,10,16,16,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,491,85,20,15,12,12,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,569,135,4,7,6,6,positionOrder,8,57,Finished,api,2024-06-25
202401,1102,604,135,81,8,8,8,positionOrder,4,57,Finished,api,2024-06-25
202401,1102,349,140,44,9,7,7,positionOrder,6,57,Finished,api,2024-06-25
202401,1102,671,140,63,3,5,5,positionOrder,10,57,Finished,api,2024-06-25
202401,1102,650,165,3,14,13,13,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,785,165,22,11,14,14,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,803,168,1,1,1,1,positionOrder,26,57,Finished,api,2024-06-25
202401,1102,595,168,11,5,2,2,positionOrder,18,57,Finished,api,2024-06-25
202401,1102,98,171,77,16,19,19,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,856,171,24,17,11,11,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,11,210,23,13,15,15,positionOrder,0,56,+1 Lap,api,2024-06-25
202401,1102,684,210,2,18,20,20,positionOrder,0,55,+2 Laps,api,2024-06-25
202409,1110,305,6,10,15,9,9,positionOrder,2,70,Finished,api,2024-06-25
202409,1110,573,6,31,18,10,10,positionOrder,1,70,Finished,api,2024-06-25
202409,1110,17,14,14,6,6,6,positionOrder,8,70,Finished,api,2024-06-25
202409,1110,745,14,18,9,7,7,positionOrder,6,70,Finished,api,2024-06-25
202409,1110,456,75,16,11,19,R,positionOrder,0,40,Engine,api,2024-06-25
202409,1110,679,75,55,12,16,R,positionOrder,0,52,Collision,api,2024-06-25
