constructor_id,constructor_ref,name,nationality,data_source,ingestion_date
1,mclaren,McLaren,British,dev,2024-05-15
2,bmw_sauber,BMW Sauber,German,dev,2024-05-15
3,williams,Williams,British,dev,2024-05-15
4,renault,Renault,French,dev,2024-05-15
5,toro_rosso,Toro Rosso,Italian,dev,2024-05-15
6,ferrari,Ferrari,Italian,dev,2024-05-15
7,toyota,Toyota,Japanese,dev,2024-05-15
8,super_aguri,Super Aguri,Japanese,dev,2024-05-15
9,red_bull,Red Bull,Austrian,dev,2024-05-15
10,force_india,Force India,Indian,dev,2024-05-15
11,honda,Honda,Japanese,dev,2024-05-15
12,spyker,Spyker,Dutch,dev,2024-05-15
13,mf1,MF1,Russian,dev,2024-05-15
14,spyker_mf1,Spyker MF1,Dutch,dev,2024-05-15
15,sauber,Sauber,Swiss,dev,2024-05-15
16,bar,BAR,British,dev,2024-05-15
17,jordan,Jordan,Irish,dev,2024-05-15
18,minardi,Minardi,Italian,dev,2024-05-15
19,jaguar,Jaguar,British,dev,2024-05-15
20,prost,Prost,French,dev,2024-05-15
21,arrows,Arrows,British,dev,2024-05-15
22,benetton,Benetton,Italian,dev,2024-05-15
23,brawn,Brawn,British,dev,2024-05-15
24,stewart,Stewart,British,dev,2024-05-15
25,tyrrell,Tyrrell,British,dev,2024-05-15
26,lola,Lola,British,dev,2024-05-15
27,ligier,Ligier,French,dev,2024-05-15
28,forti,Forti,Italian,dev,2024-05-15
29,footwork,Footwork,British,dev,2024-05-15
30,pacific,Pacific,British,dev,2024-05-15
31,simtek,Simtek,British,dev,2024-05-15
32,team_lotus,Team Lotus,British,dev,2024-05-15
33,larrousse,Larrousse,French,dev,2024-05-15
34,brabham,Brabham,British,dev,2024-05-15
35,dallara,Dallara,Italian,dev,2024-05-15
36,fondmetal,Fondmetal,Italian,dev,2024-05-15
37,march,March,British,dev,2024-05-15
38,moda,Andrea Moda,Italian,dev,2024-05-15
39,ags,AGS,French,dev,2024-05-15
40,lambo,Lambo,Italian,dev,2024-05-15
41,leyton,Leyton House,British,dev,2024-05-15
42,coloni,Coloni,Italian,dev,2024-05-15
44,eurobrun,Euro Brun,Italian,dev,2024-05-15
45,osella,Osella,Italian,dev,2024-05-15
46,onyx,Onyx,British,dev,2024-05-15
47,life,Life,Italian,dev,2024-05-15
48,rial,Rial,German,dev,2024-05-15
49,zakspeed,Zakspeed,German,dev,2024-05-15
50,ram,RAM,British,dev,2024-05-15
51,alfa,Alfa Romeo,Italian,dev,2024-05-15
52,spirit,Spirit,British,dev,2024-05-15
53,toleman,Toleman,British,dev,2024-05-15
54,ats,ATS,Italian,dev,2024-05-15
55,theodore,Theodore,Hong Kong,dev,2024-05-15
56,fittipaldi,Fittipaldi,Brazilian,dev,2024-05-15
57,ensign,Ensign,British,dev,2024-05-15
58,shadow,Shadow,British,dev,2024-05-15
59,wolf,Wolf,Canadian,dev,2024-05-15
60,merzario,Merzario,Italian,dev,2024-05-15
61,kauhsen,Kauhsen,German,dev,2024-05-15
62,rebaque,Rebaque,Mexican,dev,2024-05-15
63,surtees,Surtees,British,dev,2024-05-15
64,hesketh,Hesketh,British,dev,2024-05-15
65,martini,Martini,French,dev,2024-05-15
66,brm,BRM,British,dev,2024-05-15
67,penske,Penske,American,dev,2024-05-15
68,lec,LEC,British,dev,2024-05-15
69,mcguire,McGuire,Australian,dev,2024-05-15
70,boro,Boro,Dutch,dev,2024-05-15
71,apollon,Apollon,Swiss,dev,2024-05-15
72,kojima,Kojima,Japanese,dev,2024-05-15
73,parnelli,Parnelli,American,dev,2024-05-15
74,maki,Maki,Japanese,dev,2024-05-15
75,hill,Embassy Hill,British,dev,2024-05-15
76,lyncar,Lyncar,British,dev,2024-05-15
77,trojan,Trojan,British,dev,2024-05-15
78,amon,Amon,New Zealand,dev,2024-05-15
79,token,Token,British,dev,2024-05-15
80,iso_marlboro,Iso Marlboro,British,dev,2024-05-15
81,tecno,Tecno,Italian,dev,2024-05-15
82,matra,Matra,French,dev,2024-05-15
83,politoys,Politoys,British,dev,2024-05-15
84,connew,Connew,British,dev,2024-05-15
85,bellasi,Bellasi,Swiss,dev,2024-05-15
86,tomaso,De Tomaso,Italian,dev,2024-05-15
87,cooper,Cooper,British,dev,2024-05-15
88,eagle,Eagle,American,dev,2024-05-15
89,lds,LDS,South African,dev,2024-05-15
90,protos,Protos,British,dev,2024-05-15
91,shannon,Shannon,British,dev,2024-05-15
92,scirocco,Scirocco,British,dev,2024-05-15
93,re,RE,Rhodesian,dev,2024-05-15
94,brp,BRP,British,dev,2024-05-15
95,porsche,Porsche,German,dev,2024-05-15
96,derrington,Derrington,British,dev,2024-05-15
97,gilby,Gilby,British,dev,2024-05-15
98,stebro,Stebro,Canadian,dev,2024-05-15
99,emeryson,Emeryson,British,dev,2024-05-15
100,enb,ENB,Belgium,dev,2024-05-15
101,jbw,JBW,British,dev,2024-05-15
102,ferguson,Ferguson,British,dev,2024-05-15
103,mbm,MBM,Swiss,dev,2024-05-15
104,behra-porsche,Behra-Porsche,Italian,dev,2024-05-15
105,maserati,Maserati,Italian,dev,2024-05-15
106,scarab,Scarab,American,dev,2024-05-15
107,watson,Watson,American,dev,2024-05-15
