race_id,year,round,circuit_id,race_name,date,time,race_timestamp,data_source,ingestion_date
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00,2009-03-29 06:00:00,dev,2024-04-25
2,2009,2,2,Malaysian Grand Prix,2009-04-05,09:00:00,2009-04-05 09:00:00,dev,2024-04-25
3,2009,3,17,Chinese Grand Prix,2009-04-19,07:00:00,2009-04-19 07:00:00,dev,2024-04-25
4,2009,4,3,Bahrain Grand Prix,2009-04-26,12:00:00,2009-04-26 12:00:00,dev,2024-04-25
5,2009,5,4,Spanish Grand Prix,2009-05-10,12:00:00,2009-05-10 12:00:00,dev,2024-04-25
6,2009,6,6,Monaco Grand Prix,2009-05-24,12:00:00,2009-05-24 12:00:00,dev,2024-04-25
7,2009,7,5,Turkish Grand Prix,2009-06-07,12:00:00,2009-06-07 12:00:00,dev,2024-04-25
8,2009,8,9,British Grand Prix,2009-06-21,12:00:00,2009-06-21 12:00:00,dev,2024-04-25
9,2009,9,20,German Grand Prix,2009-07-12,12:00:00,2009-07-12 12:00:00,dev,2024-04-25
10,2009,10,11,Hungarian Grand Prix,2009-07-26,12:00:00,2009-07-26 12:00:00,dev,2024-04-25
11,2009,11,12,European Grand Prix,2009-08-23,12:00:00,2009-08-23 12:00:00,dev,2024-04-25
12,2009,12,13,Belgian Grand Prix,2009-08-30,12:00:00,2009-08-30 12:00:00,dev,2024-04-25
13,2009,13,14,Italian Grand Prix,2009-09-13,12:00:00,2009-09-13 12:00:00,dev,2024-04-25
14,2009,14,15,Singapore Grand Prix,2009-09-27,12:00:00,2009-09-27 12:00:00,dev,2024-04-25
15,2009,15,22,Japanese Grand Prix,2009-10-04,05:00:00,2009-10-04 05:00:00,dev,2024-04-25
16,2009,16,18,Brazilian Grand Prix,2009-10-18,16:00:00,2009-10-18 16:00:00,dev,2024-04-25
17,2009,17,24,Abu Dhabi Grand Prix,2009-11-01,11:00:00,2009-11-01 11:00:00,dev,2024-04-25
18,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,2008-03-16 04:30:00,dev,2024-04-25
19,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,2008-03-23 07:00:00,dev,2024-04-25
20,2008,3,3,Bahrain Grand Prix,2008-04-06,11:30:00,2008-04-06 11:30:00,dev,2024-04-25
21,2008,4,4,Spanish Grand Prix,2008-04-27,12:00:00,2008-04-27 12:00:00,dev,2024-04-25
22,2008,5,5,Turkish Grand Prix,2008-05-11,12:00:00,2008-05-11 12:00:00,dev,2024-04-25
23,2008,6,6,Monaco Grand Prix,2008-05-25,12:00:00,2008-05-25 12:00:00,dev,2024-04-25
24,2008,7,7,Canadian Grand Prix,2008-06-08,17:00:00,2008-06-08 17:00:00,dev,2024-04-25
25,2008,8,8,French Grand Prix,2008-06-22,12:00:00,2008-06-22 12:00:00,dev,2024-04-25
26,2008,9,9,British Grand Prix,2008-07-06,12:00:00,2008-07-06 12:00:00,dev,2024-04-25
27,2008,10,10,German Grand Prix,2008-07-20,12:00:00,2008-07-20 12:00:00,dev,2024-04-25
28,2008,11,11,Hungarian Grand Prix,2008-08-03,12:00:00,2008-08-03 12:00:00,dev,2024-04-25
29,2008,12,12,European Grand Prix,2008-08-24,12:00:00,2008-08-24 12:00:00,dev,2024-04-25
30,2008,13,13,Belgian Grand Prix,2008-09-07,12:00:00,2008-09-07 12:00:00,dev,2024-04-25
31,2008,14,14,Italian Grand Prix,2008-09-14,12:00:00,2008-09-14 12:00:00,dev,2024-04-25
32,2008,15,15,Singapore Grand Prix,2008-09-28,12:00:00,2008-09-28 12:00:00,dev,2024-04-25
33,2008,16,16,Japanese Grand Prix,2008-10-12,04:30:00,2008-10-12 04:30:00,dev,2024-04-25
34,2008,17,17,Chinese Grand Prix,2008-10-19,07:00:00,2008-10-19 07:00:00,dev,2024-04-25
35,2008,18,18,Brazilian Grand Prix,2008-11-02,17:00:00,2008-11-02 17:00:00,dev,2024-04-25
36,2007,1,1,Australian Grand Prix,2007-03-18,03:00:00,2007-03-18 03:00:00,dev,2024-04-25
37,2007,2,2,Malaysian Grand Prix,2007-04-08,07:00:00,2007-04-08 07:00:00,dev,2024-04-25
38,2007,3,3,Bahrain Grand Prix,2007-04-15,11:30:00,2007-04-15 11:30:00,dev,2024-04-25
39,2007,4,4,Spanish Grand Prix,2007-05-13,12:00:00,2007-05-13 12:00:00,dev,2024-04-25
40,2007,5,6,Monaco Grand Prix,2007-05-27,12:00:00,2007-05-27 12:00:00,dev,2024-04-25
41,2007,6,7,Canadian Grand Prix,2007-06-10,17:00:00,2007-06-10 17:00:00,dev,2024-04-25
42,2007,7,19,United States Grand Prix,2007-06-17,17:00:00,2007-06-17 17:00:00,dev,2024-04-25
43,2007,8,8,French Grand Prix,2007-07-01,12:00:00,2007-07-01 12:00:00,dev,2024-04-25
44,2007,9,9,British Grand Prix,2007-07-08,12:00:00,2007-07-08 12:00:00,dev,2024-04-25
45,2007,10,20,European Grand Prix,2007-07-22,12:00:00,2007-07-22 12:00:00,dev,2024-04-25
46,2007,11,11,Hungarian Grand Prix,2007-08-05,12:00:00,2007-08-05 12:00:00,dev,2024-04-25
47,2007,12,5,Turkish Grand Prix,2007-08-26,12:00:00,2007-08-26 12:00:00,dev,2024-04-25
48,2007,13,14,Italian Grand Prix,2007-09-09,12:00:00,2007-09-09 12:00:00,dev,2024-04-25
49,2007,14,13,Belgian Grand Prix,2007-09-16,12:00:00,2007-09-16 12:00:00,dev,2024-04-25
50,2007,15,16,Japanese Grand Prix,2007-09-30,04:30:00,2007-09-30 04:30:00,dev,2024-04-25
51,2007,16,17,Chinese Grand Prix,2007-10-07,06:00:00,2007-10-07 06:00:00,dev,2024-04-25
52,2007,17,18,Brazilian Grand Prix,2007-10-21,16:00:00,2007-10-21 16:00:00,dev,2024-04-25
53,2006,1,3,Bahrain Grand Prix,2006-03-12,14:30:00,2006-03-12 14:30:00,dev,2024-04-25
54,2006,2,2,Malaysian Grand Prix,2006-03-19,15:00:00,2006-03-19 15:00:00,dev,2024-04-25
55,2006,3,1,Australian Grand Prix,2006-04-02,14:00:00,2006-04-02 14:00:00,dev,2024-04-25
56,2006,4,21,San Marino Grand Prix,2006-04-23,14:00:00,2006-04-23 14:00:00,dev,2024-04-25
57,2006,5,20,European Grand Prix,2006-05-07,14:00:00,2006-05-07 14:00:00,dev,2024-04-25
58,2006,6,4,Spanish Grand Prix,2006-05-14,14:00:00,2006-05-14 14:00:00,dev,2024-04-25
59,2006,7,6,Monaco Grand Prix,2006-05-28,14:00:00,2006-05-28 14:00:00,dev,2024-04-25
60,2006,8,9,British Grand Prix,2006-06-11,12:00:00,2006-06-11 12:00:00,dev,2024-04-25
61,2006,9,7,Canadian Grand Prix,2006-06-25,13:00:00,2006-06-25 13:00:00,dev,2024-04-25
62,2006,10,19,United States Grand Prix,2006-07-02,14:00:00,2006-07-02 14:00:00,dev,2024-04-25
63,2006,11,8,French Grand Prix,2006-07-16,14:00:00,2006-07-16 14:00:00,dev,2024-04-25
64,2006,12,10,German Grand Prix,2006-07-30,14:00:00,2006-07-30 14:00:00,dev,2024-04-25
65,2006,13,11,Hungarian Grand Prix,2006-08-06,14:00:00,2006-08-06 14:00:00,dev,2024-04-25
66,2006,14,5,Turkish Grand Prix,2006-08-27,15:00:00,2006-08-27 15:00:00,dev,2024-04-25
67,2006,15,14,Italian Grand Prix,2006-09-10,14:00:00,2006-09-10 14:00:00,dev,2024-04-25
68,2006,16,17,Chinese Grand Prix,2006-10-01,14:00:00,2006-10-01 14:00:00,dev,2024-04-25
69,2006,17,22,Japanese Grand Prix,2006-10-08,14:00:00,2006-10-08 14:00:00,dev,2024-04-25
70,2006,18,18,Brazilian Grand Prix,2006-10-22,14:00:00,2006-10-22 14:00:00,dev,2024-04-25
71,2005,1,1,Australian Grand Prix,2005-03-06,14:00:00,2005-03-06 14:00:00,dev,2024-04-25
72,2005,2,2,Malaysian Grand Prix,2005-03-20,15:00:00,2005-03-20 15:00:00,dev,2024-04-25
73,2005,3,3,Bahrain Grand Prix,2005-04-03,14:30:00,2005-04-03 14:30:00,dev,2024-04-25
74,2005,4,21,San Marino Grand Prix,2005-04-24,14:00:00,2005-04-24 14:00:00,dev,2024-04-25
75,2005,5,4,Spanish Grand Prix,2005-05-08,14:00:00,2005-05-08 14:00:00,dev,2024-04-25
76,2005,6,6,Monaco Grand Prix,2005-05-22,14:00:00,2005-05-22 14:00:00,dev,2024-04-25
77,2005,7,20,European Grand Prix,2005-05-29,14:00:00,2005-05-29 14:00:00,dev,2024-04-25
78,2005,8,7,Canadian Grand Prix,2005-06-12,13:00:00,2005-06-12 13:00:00,dev,2024-04-25
79,2005,9,19,United States Grand Prix,2005-06-19,14:00:00,2005-06-19 14:00:00,dev,2024-04-25
80,2005,10,8,French Grand Prix,2005-07-03,14:00:00,2005-07-03 14:00:00,dev,2024-04-25
81,2005,11,9,British Grand Prix,2005-07-10,14:00:00,2005-07-10 14:00:00,dev,2024-04-25
82,2005,12,10,German Grand Prix,2005-07-24,14:00:00,2005-07-24 14:00:00,dev,2024-04-25
83,2005,13,11,Hungarian Grand Prix,2005-07-31,14:00:00,2005-07-31 14:00:00,dev,2024-04-25
84,2005,14,5,Turkish Grand Prix,2005-08-21,15:00:00,2005-08-21 15:00:00,dev,2024-04-25
85,2005,15,14,Italian Grand Prix,2005-09-04,14:00:00,2005-09-04 14:00:00,dev,2024-04-25
86,2005,16,13,Belgian Grand Prix,2005-09-11,14:00:00,2005-09-11 14:00:00,dev,2024-04-25
87,2005,17,18,Brazilian Grand Prix,2005-09-25,14:00:00,2005-09-25 14:00:00,dev,2024-04-25
88,2005,18,22,Japanese Grand Prix,2005-10-09,14:00:00,2005-10-09 14:00:00,dev,2024-04-25
89,2005,19,17,Chinese Grand Prix,2005-10-16,14:00:00,2005-10-16 14:00:00,dev,2024-04-25
90,2004,1,1,Australian Grand Prix,2004-03-07,\N,2004-03-07 \N,dev,2024-04-25
91,2004,2,2,Malaysian Grand Prix,2004-03-21,\N,2004-03-21 \N,dev,2024-04-25
